year,number_finished,number_scratched_withdrawn,total_mushers,percent_scratch_withdrawn,number_scratched,percent_scratched
2006,71,12,83,0.1445783133,11,0.1325301205
2007,68,24,92,0.2608695652,23,0.25
2008,78,18,96,0.1875,17,0.1770833333
2009,52,15,67,0.223880597,14,0.2089552239
2010,55,16,71,0.2253521127,16,0.2253521127
2011,47,15,62,0.2419354839,14,0.2258064516
2012,52,14,66,0.2121212121,12,0.1818181818
2013,54,12,66,0.1818181818,11,0.1666666667
2014,49,20,69,0.2898550725,19,0.2753623188
2015,66,12,78,0.1538461538,11,0.141025641
2016,71,14,85,0.1647058824,13,0.1529411765
2017,64,8,72,0.1111111111,8,0.1111111111
2018,52,15,67,0.223880597,13,0.1940298507
2019,39,13,52,0.25,12,0.2307692308
2020,34,23,57,0.4035087719,22,0.3859649123
1973,22,,34,,12,0.3529411765
1974,26,,44,,18,0.4090909091
1975,25,,41,,16,0.3902439024
1976,34,,47,,13,0.2765957447
1977,36,,47,,11,0.2340425532
1978,34,,39,,5,0.1282051282
1979,47,,55,,8,0.1454545455
1980,36,,60,,24,0.4
1981,38,,53,,15,0.2830188679
1982,46,,54,,8,0.1481481481
1983,54,,68,,10,0.1470588235
1984,45,,67,,20,0.2985074627
1985,40,,61,,19,0.3114754098
1986,55,,73,,18,0.2465753425
1987,50,,63,,10,0.1587301587
1988,45,,52,,6,0.1153846154
1989,38,,49,,11,0.2244897959
1990,61,,70,,8,0.1142857143
1991,60,,76,,15,0.1973684211
1992,63,,76,,13,0.1710526316
1993,54,,68,,12,0.1764705882
1994,50,,58,,8,0.1379310345
1995,49,,59,,9,0.1525423729
1996,49,,60,,7,0.1166666667
1997,44,,53,,9,0.1698113208
1998,51,,63,,12,0.1904761905
1999,47,,56,,9,0.1607142857
2000,68,,81,,12,0.1481481481
2001,57,,68,,9,0.1323529412
2002,55,,64,,9,0.140625
2003,44,,64,,20,0.3125
2004,77,,87,,10,0.1149425287
2005,63,,79,,16,0.2025316456